property,n,positive_pass_rate,negative_reject_rate
bipartite,6,1.0,1.0
bipartite,7,1.0,1.0
bipartite,8,1.0,1.0
bipartite,9,1.0,1.0
bipartite,10,1.0,1.0
bipartite,11,1.0,1.0
bipartite,12,1.0,1.0
bipartite,13,1.0,1.0
bipartite,14,1.0,1.0
bipartite,15,1.0,1.0
bipartite,16,1.0,1.0
