property,n,positive_pass_rate,negative_reject_rate
planarity,6,1.0,1.0
planarity,7,1.0,1.0
planarity,8,1.0,1.0
planarity,9,1.0,1.0
planarity,10,1.0,1.0
planarity,11,1.0,1.0
planarity,12,1.0,1.0
planarity,13,1.0,1.0
planarity,14,1.0,1.0
planarity,15,1.0,1.0
planarity,16,1.0,1.0
